科系代碼,科系名稱,日間∕進修別,等級別,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生
810102,餐旅(行銷)(暨遊憩)管理學系,N 修,B 學士,511,530,472,480,447,464,401,402,0,0,0,0,0,0,109,78
810102,餐旅(行銷)(暨遊憩)管理學系,N 修,C 學士,0,0,0,0,59,61,30,31,0,0,0,0,0,0,2,3
810102,餐旅(行銷)管理科,N 修,2 二專,59,38,42,42,0,0,0,0,0,0,0,0,0,0,5,5
810102,餐旅(行銷)(暨遊憩)管理學系,P 進,B 學士,259,230,228,170,213,170,179,180,0,0,0,0,0,0,40,20
810103,餐飲管理(及廚藝)學系,D 日,M 碩士,9,12,5,6,0,1,0,0,0,0,0,0,0,0,0,0
810103,餐飲管理(及廚藝)學系,D 日,B 學士,1160,1381,1173,1260,889,1010,713,853,0,0,0,0,0,0,93,56
810103,餐飲管理(及廚藝)學系,D 日,C 學士,0,0,0,0,39,68,46,60,0,0,0,0,0,0,4,1
810103,餐飲管理科,D 日,2 二專,64,58,66,28,0,0,0,0,0,0,0,0,0,0,20,7
810103,餐飲管理科,D 日,5 五專,270,341,306,413,316,393,224,294,192,270,0,0,0,0,24,35
810103,餐飲管理(及廚藝)學系,N 修,B 學士,559,519,356,350,346,352,324,269,0,0,0,0,0,0,49,20
810103,餐飲管理(及廚藝)學系,N 修,C 學士,0,0,0,0,84,118,66,79,5,0,0,0,0,0,6,4
810103,餐飲管理科,N 修,2 二專,34,26,30,19,0,0,0,0,0,0,0,0,0,0,9,4
810103,餐飲管理(及廚藝)學系,P 進,B 學士,40,41,13,42,14,39,24,30,0,0,0,0,0,0,11,14
810104,中餐廚藝系,D 日,B 學士,36,20,31,19,29,14,28,17,0,0,0,0,0,0,1,0
810105,西餐廚藝系,D 日,B 學士,28,22,26,23,40,42,46,43,0,0,0,0,0,0,3,4
810106,烘焙管理學系,D 日,B 學士,63,166,49,124,43,100,24,64,0,0,0,0,0,0,2,4
810106,烘焙管理科,D 日,5 五專,4,6,9,19,9,15,0,0,0,0,0,0,0,0,0,0
810106,烘焙管理學系,N 修,B 學士,7,8,5,7,0,0,0,0,0,0,0,0,0,0,0,0
810106,烘焙管理學系,N 修,C 學士,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0
810106,烘焙管理科,N 修,2 二專,1,6,4,6,0,0,0,0,0,0,0,0,0,0,0,0
810107,健康餐飲(暨產業)管理學系,D 日,M 碩士,2,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0
810107,健康餐飲(暨產業)管理學系,D 日,B 學士,13,41,17,38,8,36,8,38,0,0,0,0,0,0,0,3
810107,健康餐飲(暨產業)管理學系,P 進,B 學士,0,0,0,0,11,21,11,18,0,0,0,0,0,0,0,3
810109,餐飲(製作)學系,D 日,B 學士,39,81,49,77,47,71,27,67,0,0,0,0,0,0,6,0
810109,餐飲(製作)學系,D 日,C 學士,0,0,0,0,6,22,8,18,0,0,0,0,0,0,0,0
810109,餐飲(製作)學系,N 修,B 學士,53,53,45,59,55,49,41,74,0,0,0,0,0,0,13,10
810109,餐飲(製作)學系,N 修,C 學士,0,0,0,0,5,8,5,10,0,0,0,0,0,0,1,1
810111,餐飲廚藝(管理)系,D 日,B 學士,363,255,256,198,231,127,151,91,0,0,0,0,0,0,10,3
810111,餐飲廚藝科,D 日,2 二專,28,6,26,4,0,0,0,0,0,0,0,0,0,0,1,0
810111,餐飲廚藝科,D 日,5 五專,44,57,34,49,36,36,16,35,15,42,0,0,0,0,1,0
810111,餐飲廚藝(管理)系,N 修,B 學士,65,46,63,41,48,32,20,14,0,0,0,0,0,0,4,0
810111,餐飲廚藝(管理)系,N 修,C 學士,0,0,0,0,0,0,20,9,0,0,0,0,0,0,2,0
810111,餐飲廚藝科,N 修,2 二專,35,15,30,8,0,0,0,0,0,0,0,0,0,0,2,0
810118,廚藝(管理)系,D 日,B 學士,88,63,94,69,103,54,101,57,0,0,0,0,0,0,5,0
810118,廚藝管理科,D 日,2 二專,8,6,4,4,0,0,0,0,0,0,0,0,0,0,1,1
810118,廚藝(管理)系,P 進,B 學士,26,23,28,14,30,19,0,0,0,0,0,0,0,0,0,0
